title,company,location,description,salary_min,salary_max,created,category
Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka","Job Title : Data Analyst (Statistician) Location : Indiranagar, Bangalore Job Type : Full-time Experience : 2-4 years Job Overview We are looking for a skilled Data Management Specialist to support data validation, analysis, and reporting for clinical and preclinical studies. The role involves ensuring data accuracy, resolving discrepancies, and generating insights to support research objectives. Ideal candidates will be detail-oriented, collaborative, and experienced in data handling and compl…",,,2026-09-01T16:22:30Z,IT Jobs
Data Analyst,Arcana,"Coimbatore, Tamil Nadu","About Arcana Arcana is a portfolio intelligence platform used by hedge funds and asset managers to analyze performance and risk. We’re rethinking the tools institutional investors rely on—and we’re hiring analysts who want to help drive that transformation. Role Overview We are looking for a Data Analyst to work with large-scale financial datasets, ensure high data quality, and deliver actionable insights through dashboards and reports. The role focuses on building and maintaining robust data q…",,,2026-09-01T16:21:48Z,IT Jobs
Data Analyst,Navneet Education Limited,"Mumbai, Maharashtra","Position Title : Data Analyst Experience Required : Overall Experience 4-7 years Minimum 2-3 years of hands-on experience in BI/dashboarding tools (Power BI, Looker Studio, or equivalent) Experience working with ERP/CRM data (SAP SD/MM or equivalent) strongly preferred Role Summary The Data Analyst will be responsible for translating the Group’s data - spanning customer/stakeholder data (Teachers, Schools, Retailers, Distributors, Vendors, Partners) and factory operations data (production, disp…",,,2026-09-01T16:22:36Z,IT Jobs
Data Analyst,Buzzivo,"Uttarakhand, India","Number of Positions: 4 Location: Uttarakhand Employment Type: Full-Time About Buzzivo Buzzivo is a growth-driven marketing company that helps businesses move beyond vanity metrics and achieve measurable, sustainable growth. We bring together strategy, execution, and optimization under one roof to build marketing systems that drive real business outcomes. Our expertise spans Paid Media, Paid Social, Account-Based Marketing, Revenue Operations, Positioning & Messaging, and Marketing Analytics . W…",,,2026-09-01T16:21:42Z,"PR, Advertising & Marketing Jobs"
Data Analyst,ShrinQ Consulting Group Inc,India,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. Responsibilities Understand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashion Qualifications B…",,,2026-09-01T18:21:19Z,IT Jobs
Data Analyst,S&P Global,"Hyderabad, Telangana","This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 07 Role Scope S&P Global's Research Operations Calling Team conducts primary and secondary research on newly established firms and gathers information on existing firms within the asset management industry. The team is responsible for client data inquiries and works…",,,2026-09-01T22:16:20Z,Accounting & Finance Jobs
Data Analyst,Mastek,"Noida, Ghaziabad",Key Responsibilities Customization and configuration of solutions/platforms Data Integration activities Implementation and deployment support Data Validation and quality checks Dashboard development and reporting Mandatory Skills Strong SQL proficiency Good reading and comprehension skills Experience in Data Integration and ETL processes Strong written communication skills Preferred Experience US Healthcare domain experience is preferred Candidates from other domains may also be considered if t…,,,2026-09-01T16:21:47Z,IT Jobs
Data Analyst,Straive,India,"Job Description: This is an individual-contributor role within the Content Strategy team in Norstella Content Operations, reporting to the Director, Analytics & Insights (Clinical RWD/RWE Solutions). It is a hands-on technical role that turns approved clinical specifications and business rules into robust, scalable, production-grade RWD pipelines and analytical outputs. Clinical qualification is not required; deep technical fluency in real-world data engineering and analytics is. The role is UK…",,,2026-09-01T16:20:52Z,Scientific & QA Jobs
Data Analyst,Angel One,"Bangalore, Karnataka","About Angel One: Angel One is one of Indias fastest growing fin-techs, on a bold mission to make investing simple, smart, and inclusive for every Indian. With over 3 crore clients, were building at scale – and building for impact. Our Super App helps clients manage their investments, trade seamlessly, and access financial tools tailored to their goals. We are working to build personalized financial journeys for our clients, powered by new-age tech, AI, Machine Learning and Data Science. We're a…",,,2026-09-01T16:22:35Z,IT Jobs
Data Analyst,Midtown Software,"Chandigarh, India","The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. The main field of Analysis will be the data on NatGasHub.com and the Energy Industry of the US and Canada. Timings-9:00 am to 6:00 pm Direct exposure to working with U.S. and Canadian clients. Responsibilities Understand the day-to-day issues that our business faces, which can be better understood with data Coordinate with the team to complete tasks Making sure t…",,,2026-09-01T16:22:33Z,Consultancy Jobs
Data Analyst / Data Engineer,DocOnline,"Hyderabad, Telangana","Job Title: Data Analyst/ Data Engineer Location: Hyderabad Position Type: Full-time Job Overview: Database engineer with experience in Database management, Data analytics, good knowledge in writing queries to extract the data, automate the report generation through reporting tools. Key Responsibilities: Plan and define the overall data analytics architecture Establish data governance to ensure data quality & security Design end-to-end analytics solutions including Data ingestion, Data storage, …",,,2026-09-01T16:19:58Z,IT Jobs
BI Data Analyst,Sutherland,India,"Sr. BI & Data Analyst Job Summary As a Senior BI & Data Analyst , you’ll be a key driver of insight and innovation within our Enterprise Data and Analytics team. We’re looking for a curious, detail-oriented professional who thrives on turning complex scientific and operational data into clear, actionable intelligence. In this role, you’ll lead the development of analytical solutions that illuminate critical KPIs, uncover performance trends, and support strategic decision-making across the busin…",,,2026-09-01T16:21:53Z,IT Jobs
Senior Data Analyst,Capco,India,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Data Analyst (Python Pyspark) About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities a…",,,2026-08-12T01:59:43Z,IT Jobs
Senior Data Analyst,Epsilon,"Bangalore, Karnataka","Senior Data Analyst Data Analytics Overview About Business Unit: Powerful predictors of the future - our Analytics team seamlessly blends data science and business intelligence to provide unparalleled foresight for our platform offerings. They turn insights into actionable results for our clients by collaborating with senior team members and staying ahead of market trends, powered by our data assets. By using new-age analytic tools and emerging technologies, the team cultivates a dynamic learni…",,,2026-09-01T16:20:46Z,Consultancy Jobs
Master Data Analyst,Pharmanovia,"Mumbai, Maharashtra","Master Data Analyst - Mumbai or Vadodara - Hybrid - 3 Days in the office and 2 days working from home. About the Company Pharmanovia is a global speciality pharmaceutical company focused on innovative speciality medicines and trusted, established brands. Pharmanovia combines scientific, medical, regulatory, market access, supply chain and commercial expertise to bring medicines to patients. Together, they reflect a business built to meet patient needs today while helping shape better outcomes f…",,,2026-09-01T16:20:56Z,IT Jobs
Senior Data Analyst,Morningstar,"Mumbai, Maharashtra","This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Data Analyst, Structured Finance (Mumbai) About Us: Morningstar DBRS is a leading provider of independent rating services and opinions for corporate and sovereign entities, financial institutions, and structured finance instruments globally. Currently with 700 employees in eight offices globally. Formed t…",,,2026-09-01T22:16:27Z,Accounting & Finance Jobs
Senior Data Analyst,Yamaha Motor Solutions India,"Faridabad, Haryana","About the Company We are seeking a highly analytical and detail-oriented Governance Data Analyst to support the Regional IT Governance function. The role will be responsible for collecting, validating, analyzing, and reporting governance-related data across Asia and other global regions. The successful candidate will develop dashboards, generate management reports, maintain governance repositories, and provide data-driven insights to support strategic decision-making and continuous governance i…",,,2026-09-01T16:23:04Z,IT Jobs
Lead Data Analyst,Dyson,"Bangalore, Karnataka","Job Description Role Overview As Lead Business Data Analyst, you will drive data analysis, engineering, and advanced analytics initiatives. You will collaborate with Data Product Managers, Data Owners, and global cross-functional teams to deliver impactful business outcomes. This role balances hands-on analytics, AI innovation, stakeholder engagement, and continuous process improvement. Key Responsibilities Lead complex data analysis, modeling, and visualization activities to extract actionable…",,,2026-09-01T16:22:32Z,IT Jobs
Growth & Data Analyst,Lascade,"Kochi, Ernakulam","Lascade is looking for a highly analytical Growth & Data Analyst to help us make smarter business decisions through data. You’ll work across our software products, marketing campaigns, websites, and mobile applications to understand user behaviour, identify growth opportunities, improve conversions, and optimize business performance. If you enjoy solving problems using data and turning numbers into actionable insights, we’d love to hear from you. What You’ll Do • Analyze user behaviour across w…",,,2026-09-01T16:22:28Z,IT Jobs
Business Data Analyst,Capco,India,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Business Data Analyst About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities across gl…",,,2026-08-12T01:59:37Z,IT Jobs
Senior Data Analyst,Chubb,"Hyderabad, Telangana","About Chubb Chubb is a world leader in insurance. With operations in 54 countries and territories, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance and life insurance to a diverse group of clients. The company is defined by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength and local operations globally. Parent company Chubb Limited is listed on the N…",,,2026-09-01T16:22:25Z,IT Jobs
Senior Data Analyst,Walmart Global Tech India,"Chennai, Tamil Nadu","Location: Chennai, Bangalore About Global Tech. Imagine working in an environment where one line of code can make life easier for hundreds of millions of people and put a smile on their face. That’s what we do at Walmart Global Tech. We’re a team of 15,000 software engineers, data scientists and service professionals within Walmart, the world’s largest retailer, delivering innovations that improve how our customers shop and empower our 2.3 million associates. To others, innovation looks like an…",,,2026-09-01T16:22:36Z,IT Jobs
Data Analyst / Engineer,Kyndryl,"Bangalore, Karnataka","This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",,,2026-08-25T10:08:09Z,Accounting & Finance Jobs
Senior Data Analyst,Prescience Decision Solutions ,"Bangalore, Karnataka","Experience: 3 -5 Years (In Data Analytics) Mode: Hybrid - Fulltime Location: Bangalore Must Have Skills: Advanced SQL, Complex queries, Business Analysis, Experimentation Prefer: Immediate Joiners/Serving Notice Key Skills & Qualifications: Advanced SQL expertise with strong proficiency in writing and optimizing complex queries. Proven ability to solve business problems through data-driven analysis and business case studies. Strong communication and stakeholder management skills, with the abili…",,,2026-09-01T16:21:00Z,IT Jobs
Data Analyst- Geology,S&P Global,"Bangalore, Karnataka","This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 07 The Team: S&P Global's Upstream and Midstream Energy Data & Research Team conducts primary and secondary research on global energy assets across exploration, production, transportation, and power infrastructure. The team gathers, validates, and maintains datasets…",,,2026-08-28T18:11:48Z,"Energy, Oil & Gas Jobs"
Liquidity - Data Analyst,Capco,India,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: SOX Compliance About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities across globe, we…",,,2026-08-12T01:59:43Z,Accounting & Finance Jobs
Senior Data Analyst,Magma General Insurance Limited,"Mumbai, Maharashtra","Role Overview We are seeking highly skilled Analytics & Data Science professionals (5–7 years of experience) with strong domain expertise in Insurance/Financial Services. The role focuses on developing data-driven solutions across Fraud Detection, Risk Prediction, and Underwriting Analytics. Key Responsibilities Develop and deploy machine learning models for fraud detection, underwriting risk, and customer risk profiling. Build scalable data pipelines and feature engineering frameworks using Py…",,,2026-09-01T16:21:39Z,IT Jobs
Data Analyst - Fenergo,eClerx,"Mumbai, Maharashtra","Remediation Analysts: Required / Must-have: Ability to identify data quality issues, investigate root causes, and apply fixes in line with business rules Experience in data mapping and in executing data remediation and cleansing activities as part of a platform migration SQL (and Python if possible) skills for querying, analysing, and remediating data at scale Good working understanding of Fenergo (FenE) tool Ability to clearly document remediation outcomes for system implementation Good writte…",,,2026-09-01T16:20:10Z,IT Jobs
Data Analyst - Data Remediation - Mumbai,Capco,"Mumbai, Maharashtra","This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities across globe, we support 100 clients acros…",,,2026-08-27T02:10:36Z,IT Jobs
Sr. EDW Data Analyst,TribolaTech Inc,India,"Looking for 30 days/joiners only. Job Title: Sr. EDW Data Analyst Experience: 10 year Location: Remote Note: Banking domain experience is mandatory. Join our client and be part of bringing our clients' world-changing ideas to life. At our client, you have the opportunity to grow and collectively make an impact by supporting the innovative clients and communities they serve. They pride themselves in having both a diverse client roster and an equally diverse and inclusive organization. Our client…",,,2026-09-01T16:22:38Z,IT Jobs
Credit Risk Data Analyst,Etenico Technologies,India,"Credit Risk Data Analyst –SQL, Python & PySpark Experience: 3–7 Years Location: Bangalore Notice - Immediate to 15 Days Role Summary Seeking a Credit Risk Data Analyst with strong hands-on expertise in Python and PySpark to support large-scale data processing, validation, and analytics across credit risk datasets. The role focuses on leveraging distributed data frameworks to ensure data accuracy, scalability, and efficient processing within modern data platforms. Key Responsibilities Perform la…",,,2026-09-01T16:21:54Z,IT Jobs
Liquidity Reporting- data analyst,Capco,India,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job title: Liquidity reporting Compliance Finance has mobilised a multi-year Integrity of Regulatory Reporting (IRR) programme to ensure that Regulatory Reporting across the Group is fit for purpose; accurate, timely and complete. The IRR programme is responsible for overseeing the design and implementation of a set o…",,,2026-08-27T02:10:30Z,Accounting & Finance Jobs
Product Marketing Data Analyst,Danaher,"Maharashtra, India","This job is with Danaher, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Find what drives you on a team with a more than 75-year history of discovery, determination, and innovation. As a global leader in high-tech filtration, separation, and purification, Pall Corporation thrives on helping our customers solve their toughest challenges. Our products serve diverse, global customer needs a…",,,2026-08-18T18:03:33Z,IT Jobs
Online Data Analyst - Punjabi,TELUS Digital,India,"Job description Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home. A Day in the Life of an Online Data Analyst: In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide Completing research and evaluation tasks in a web-based envir…",,,2026-09-01T16:20:55Z,Scientific & QA Jobs
Senior Researcher & Data Analyst,Brainware University,"Barasat, North 24 Parganas","Senior Operations Associate Can you read data, find patterns and drive better decisions? Brainware University is hiring Data Analysts. Brainware University is expanding it s AI Research & Development Cell and is looking for talented individuals who can analyze data deeply, identify meaningful patterns, generate actionable insights and support better institutional decisions . This is not a routine Reporting role. It is an opportunity to work on high-impact assignments connected to Admissions, Ac…",,,2026-09-01T16:22:25Z,IT Jobs
Data Analyst - Central Analytics,Kapiva,"Bangalore, Karnataka","Role Overview : The Analyst is responsible for analyzing user behavior, identifying churn drivers, and improving customer lifetime value (LTV) through data-driven insights. This role works closely with CRM, marketing, and growth teams to design and evaluate retention strategies. Key Responsibilities : Analyze customer cohorts, retention curves, and churn metrics across lifecycle stages Build and monitor KPIs such as Retention Rate, Repeat Rate, LTV, CAC. Identify drop-off points in the user jou…",,,2026-09-01T16:22:25Z,IT Jobs
Data Analyst – Transport MIS & Data Analytics,Pahlé India Foundation ,India,"About Pahlé India Foundation Pahlé India Foundation (PIF) is a New Delhi-based public policy think-and-action tank founded by Dr. Rajiv Kumar, former Vice Chairman of NITI Aayog. PIF works with central and state governments, multilateral agencies, and institutional partners on policy research, implementation support, and advisory assignments across sectors including governance, transport, infrastructure, and public administration. PIF's Northeast Regional Office, based in Guwahati, leads the Fo…",,,2026-09-01T16:22:27Z,IT Jobs
Online Data Analyst - Odia Language.,TELUS,India,"Job description Are you a research-minded individual with a keen eye for detail and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from home. A day in the life of an online data analyst: In this role, you will work on a project that aims to improve the content and quality of digital maps used by people around the world. Conduct research and evaluation in a web-based environment, including data verification, comparison, an…",,,2026-09-01T16:23:14Z,IT Jobs
Online Data Analyst Urdu _India,TELUS Digital AI Data Solutions,India,"Job description Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home. A Day in the Life of an Online Data Analyst: In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide Completing research and evaluation tasks in a web-based envir…",,,2026-09-01T16:21:49Z,Scientific & QA Jobs
"Sr Manager, Senior Data Analyst",Standard Chartered Bank,"Bangalore, Karnataka","This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary The role is responsible for strengthening the data, automation and control framework supporting CIB Credit Risk reporting, with a focus on Financial Sponsors and Private Credit. The role holder will work closely with reporting, data, technology and change teams to improve data sourcing, d…",,,2026-08-25T00:07:28Z,Accounting & Finance Jobs
